round,maintenance_ms,recall,live,used_slabs
0,0.0,0.9747,200000,200000
1,616.684,0.9742,200000,202000
2,586.048,0.9745,200000,204000
3,604.685,0.9742,200000,206000
4,627.087,0.9744,200000,208000
5,621.345,0.9749,200000,210000
