round,maintenance_ms,recall,live
0,0.0,0.9997,200000
1,4613.38,0.9979,200000
2,8357.64,0.9957,200000
3,7479.24,0.9928,200000
4,14463.7,0.9888,200000
5,2207.44,0.9862,200000
6,3948.68,0.9838,200000
7,4530.69,0.981,200000
8,13480.8,0.9998,200000
9,38038.9,0.9998,200000
10,2182.09,0.9999,200000
