round,maintenance_ms,recall,live
0,0.0,0.9918,200000
1,6492.8,0.9886,200000
2,12353.8,0.9868,200000
3,11055.4,0.9844,200000
4,21401.9,0.9821,200000
5,3078.84,0.9807,200000
